caracter,protagonista,editorial,funcional
Noche plateada,Cormorant Garamond,Prata,Instrument Sans
Gala moderna,Bodoni Moda,Raleway,Montserrat
Romántica clásica,Pinyon Script,Playfair Display,Jost
Garden antigua,WindSong,Fraunces,Quicksand
Editorial silenciosa,Mea Culpa,Ovo,Questrial
Boda clásica,Alex Brush,Bona Nova,Montserrat
Quince moderno,Euphoria Script,DM Serif Display,Poppins
Retro sofisticada,Sacramento,Calistoga,Jost
Fiesta nocturna,Bebas Neue,Francois One,Inter
Urbana,Permanent Marker,Londrina Solid,Instrument Sans
Fantasía ceremonial,Cinzel Decorative,Cormorant Garamond,Raleway
Cercana artesanal,Beth Ellen,Lora,Nunito
