id,group,scene,audience,variant,viewport,width,height,content_profile,focus,harness_path,result,evidence,observation
BASE-prelude-protagonist-origin01-wine-mobile,base,prelude,protagonist,origin01-wine,mobile,390,844,canonical,composición integral de la escena,/studio/matriz/BASE-prelude-protagonist-origin01-wine-mobile,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-prelude-protagonist-origin01-wine-desktop,base,prelude,protagonist,origin01-wine,desktop,1440,1000,canonical,composición integral de la escena,/studio/matriz/BASE-prelude-protagonist-origin01-wine-desktop,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-prelude-protagonist-origin01-midnight-mobile,base,prelude,protagonist,origin01-midnight,mobile,390,844,canonical,composición integral de la escena,/studio/matriz/BASE-prelude-protagonist-origin01-midnight-mobile,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-prelude-protagonist-origin01-midnight-desktop,base,prelude,protagonist,origin01-midnight,desktop,1440,1000,canonical,composición integral de la escena,/studio/matriz/BASE-prelude-protagonist-origin01-midnight-desktop,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-prelude-protagonist-origin01-garden-mobile,base,prelude,protagonist,origin01-garden,mobile,390,844,canonical,composición integral de la escena,/studio/matriz/BASE-prelude-protagonist-origin01-garden-mobile,issue,https://limen-web-six.vercel.app/studio/matriz/BASE-prelude-protagonist-origin01-garden-mobile,VIS-4 — Inspección perceptual externa; consultar el hallazgo canónico de Fase 1.2.
BASE-prelude-protagonist-origin01-garden-desktop,base,prelude,protagonist,origin01-garden,desktop,1440,1000,canonical,composición integral de la escena,/studio/matriz/BASE-prelude-protagonist-origin01-garden-desktop,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-prelude-guest-origin01-wine-mobile,base,prelude,guest,origin01-wine,mobile,390,844,canonical,composición integral de la escena,/studio/matriz/BASE-prelude-guest-origin01-wine-mobile,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-prelude-guest-origin01-wine-desktop,base,prelude,guest,origin01-wine,desktop,1440,1000,canonical,composición integral de la escena,/studio/matriz/BASE-prelude-guest-origin01-wine-desktop,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-prelude-guest-origin01-midnight-mobile,base,prelude,guest,origin01-midnight,mobile,390,844,canonical,composición integral de la escena,/studio/matriz/BASE-prelude-guest-origin01-midnight-mobile,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-prelude-guest-origin01-midnight-desktop,base,prelude,guest,origin01-midnight,desktop,1440,1000,canonical,composición integral de la escena,/studio/matriz/BASE-prelude-guest-origin01-midnight-desktop,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-prelude-guest-origin01-garden-mobile,base,prelude,guest,origin01-garden,mobile,390,844,canonical,composición integral de la escena,/studio/matriz/BASE-prelude-guest-origin01-garden-mobile,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-prelude-guest-origin01-garden-desktop,base,prelude,guest,origin01-garden,desktop,1440,1000,canonical,composición integral de la escena,/studio/matriz/BASE-prelude-guest-origin01-garden-desktop,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-hero-protagonist-origin01-wine-mobile,base,hero,protagonist,origin01-wine,mobile,390,844,canonical,composición integral de la escena,/studio/matriz/BASE-hero-protagonist-origin01-wine-mobile,issue,https://limen-web-six.vercel.app/studio/matriz/BASE-hero-protagonist-origin01-wine-mobile,VIS-1 — Inspección perceptual externa; consultar el hallazgo canónico de Fase 1.2.
BASE-hero-protagonist-origin01-wine-desktop,base,hero,protagonist,origin01-wine,desktop,1440,1000,canonical,composición integral de la escena,/studio/matriz/BASE-hero-protagonist-origin01-wine-desktop,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-hero-protagonist-origin01-midnight-mobile,base,hero,protagonist,origin01-midnight,mobile,390,844,canonical,composición integral de la escena,/studio/matriz/BASE-hero-protagonist-origin01-midnight-mobile,issue,https://limen-web-six.vercel.app/studio/matriz/BASE-hero-protagonist-origin01-midnight-mobile,VIS-1 — Inspección perceptual externa; consultar el hallazgo canónico de Fase 1.2.
BASE-hero-protagonist-origin01-midnight-desktop,base,hero,protagonist,origin01-midnight,desktop,1440,1000,canonical,composición integral de la escena,/studio/matriz/BASE-hero-protagonist-origin01-midnight-desktop,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-hero-protagonist-origin01-garden-mobile,base,hero,protagonist,origin01-garden,mobile,390,844,canonical,composición integral de la escena,/studio/matriz/BASE-hero-protagonist-origin01-garden-mobile,issue,https://limen-web-six.vercel.app/studio/matriz/BASE-hero-protagonist-origin01-garden-mobile,VIS-1 — Inspección perceptual externa; consultar el hallazgo canónico de Fase 1.2.
BASE-hero-protagonist-origin01-garden-desktop,base,hero,protagonist,origin01-garden,desktop,1440,1000,canonical,composición integral de la escena,/studio/matriz/BASE-hero-protagonist-origin01-garden-desktop,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-hero-guest-origin01-wine-mobile,base,hero,guest,origin01-wine,mobile,390,844,canonical,composición integral de la escena,/studio/matriz/BASE-hero-guest-origin01-wine-mobile,issue,https://limen-web-six.vercel.app/studio/matriz/BASE-hero-guest-origin01-wine-mobile,VIS-1 — Inspección perceptual externa; consultar el hallazgo canónico de Fase 1.2.
BASE-hero-guest-origin01-wine-desktop,base,hero,guest,origin01-wine,desktop,1440,1000,canonical,composición integral de la escena,/studio/matriz/BASE-hero-guest-origin01-wine-desktop,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-hero-guest-origin01-midnight-mobile,base,hero,guest,origin01-midnight,mobile,390,844,canonical,composición integral de la escena,/studio/matriz/BASE-hero-guest-origin01-midnight-mobile,issue,https://limen-web-six.vercel.app/studio/matriz/BASE-hero-guest-origin01-midnight-mobile,VIS-1 — Inspección perceptual externa; consultar el hallazgo canónico de Fase 1.2.
BASE-hero-guest-origin01-midnight-desktop,base,hero,guest,origin01-midnight,desktop,1440,1000,canonical,composición integral de la escena,/studio/matriz/BASE-hero-guest-origin01-midnight-desktop,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-hero-guest-origin01-garden-mobile,base,hero,guest,origin01-garden,mobile,390,844,canonical,composición integral de la escena,/studio/matriz/BASE-hero-guest-origin01-garden-mobile,issue,https://limen-web-six.vercel.app/studio/matriz/BASE-hero-guest-origin01-garden-mobile,VIS-1 — Inspección perceptual externa; consultar el hallazgo canónico de Fase 1.2.
BASE-hero-guest-origin01-garden-desktop,base,hero,guest,origin01-garden,desktop,1440,1000,canonical,composición integral de la escena,/studio/matriz/BASE-hero-guest-origin01-garden-desktop,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
BASE-countdown-protagonist-origin01-wine-mobile,base,countdown,protagonist,origin01-wine,mobile,390,844,canonical,composición integral de la escena,/studio/matriz/BASE-countdown-protagonist-origin01-wine-mobile,pass,https://limen-web-six.vercel.app,Inspeccionado externamente mediante el harness real desplegado; no se observó ningún defecto perceptual de Fase 1.2.
